"entrez_id"	"ensembl_gene_id"
197	"ENSG00000145192"
51327	"ENSG00000169877"
57379	"ENSG00000111732"
64853	"ENSG00000186063"
199	"ENSG00000204472"
83543	"ENSG00000126878"
9131	"ENSG00000156709"
84883	"ENSG00000042286"
150209	"ENSG00000183773"
51390	"ENSG00000146416"
202	"ENSG00000112297"
55057	"ENSG00000176092"
9447	"ENSG00000163568"
9255	"ENSG00000164022"
7965	"ENSG00000106305"
9049	"ENSG00000110711"
23746	"ENSG00000129221"
326	"ENSG00000160224"
55966	"ENSG00000196581"
84962	"ENSG00000129474"
203	"ENSG00000106992"
204	"ENSG00000004455"
50808	"ENSG00000147853"
205	"ENSG00000162433"
26289	"ENSG00000154027"
102157402	"ENSG00000085231"
122481	"ENSG00000140057"
158067	"ENSG00000165695"
221264	"ENSG00000155085"
642597	"ENSG00000231824"
8165	"ENSG00000121057"
11217	"ENSG00000241978"
10566	"ENSG00000111254"
8852	"ENSG00000147081"
9495	"ENSG00000179841"
9472	"ENSG00000151320"
9465	"ENSG00000118507"
10270	"ENSG00000105127"
26993	"ENSG00000011243"
10142	"ENSG00000127914"
11216	"ENSG00000108599"
11215	"ENSG00000023516"
9590	"ENSG00000131016"
11214	"ENSG00000170776"
158798	"ENSG00000186471"
8227	"ENSG00000197976"
56672	"ENSG00000166452"
79647	"ENSG00000174574"
55122	"ENSG00000135334"
80709	"ENSG00000106948"
254268	"ENSG00000162641"
10327	"ENSG00000117448"
231	"ENSG00000085662"
57016	"ENSG00000198074"
441282	"ENSG00000227471"
1645	"ENSG00000187134"
1646	"ENSG00000151632"
8644	"ENSG00000196139"
1109	"ENSG00000198610"
6718	"ENSG00000122787"
83592	"ENSG00000165568"
8574	"ENSG00000053371"
22977	"ENSG00000162482"
246181	"ENSG00000211454"
207	"ENSG00000142208"
84335	"ENSG00000204673"
208	"ENSG00000105221"
10000	"ENSG00000117020"
64400	"ENSG00000166971"
210	"ENSG00000148218"
211	"ENSG00000023330"
212	"ENSG00000158578"
213	"ENSG00000163631"
214	"ENSG00000170017"
216	"ENSG00000165092"
8854	"ENSG00000128918"
220	"ENSG00000184254"
219	"ENSG00000137124"
10840	"ENSG00000144908"
160428	"ENSG00000136010"
217	"ENSG00000111275"
218	"ENSG00000108602"
224	"ENSG00000072210"
221	"ENSG00000006534"
222	"ENSG00000132746"
8659	"ENSG00000159423"
7915	"ENSG00000112294"
4329	"ENSG00000119711"
501	"ENSG00000164904"
64577	"ENSG00000118514"
223	"ENSG00000143149"
126133	"ENSG00000161618"
5832	"ENSG00000059573"
226	"ENSG00000149925"
229	"ENSG00000136872"
230	"ENSG00000109107"
56052	"ENSG00000033011"
200810	"ENSG00000189366"
644974	"ENSG00000251287"
85365	"ENSG00000119523"
10195	"ENSG00000214160"
29880	"ENSG00000120697"
29929	"ENSG00000088035"
79053	"ENSG00000159063"
79796	"ENSG00000086848"
84920	"ENSG00000139133"
144245	"ENSG00000175548"
440138	"ENSG00000253710"
79087	"ENSG00000182858"
79868	"ENSG00000101901"
199857	"ENSG00000172339"
238	"ENSG00000171094"
8846	"ENSG00000100601"
121642	"ENSG00000189046"
221120	"ENSG00000166199"
54784	"ENSG00000160993"
54890	"ENSG00000091542"
84964	"ENSG00000239382"
84266	"ENSG00000125652"
91801	"ENSG00000137760"
55821	"ENSG00000151360"
7840	"ENSG00000116127"
240	"ENSG00000012779"
241	"ENSG00000132965"
239	"ENSG00000108839"
242	"ENSG00000179477"
246	"ENSG00000161905"
247	"ENSG00000179593"
59344	"ENSG00000179148"
248	"ENSG00000163295"
80216	"ENSG00000073331"
115701	"ENSG00000198796"
57538	"ENSG00000136383"
249	"ENSG00000162551"
250	"ENSG00000163283"
251	"ENSG00000163286"
57679	"ENSG00000003393"
259173	"ENSG00000178038"
151254	"ENSG00000155754"
130540	"ENSG00000155749"
8092	"ENSG00000180318"
257	"ENSG00000156150"
60529	"ENSG00000052850"
10189	"ENSG00000183684"
23600	"ENSG00000242110"
258	"ENSG00000178522"
259	"ENSG00000106927"
55626	"ENSG00000110497"
262	"ENSG00000123505"
144193	"ENSG00000139344"
51005	"ENSG00000162066"
265	"ENSG00000125363"
266	"ENSG00000099721"
139285	"ENSG00000184675"
219287	"ENSG00000165566"
205147	"ENSG00000178171"
267	"ENSG00000159461"
268	"ENSG00000104899"
269	"ENSG00000135409"
57463	"ENSG00000181754"
