microRNA	P-value (global)	P-value (local)	Association	Target (Gene Symbol)	Target (Entrez)
hsa-miR-548c-3p	6.45e-09	6.86e-14	negative	RBMS3	27303
hsa-miR-548c-3p	6.45e-09	1.24e-13	negative	SORBS1	10580
hsa-miR-548c-3p	6.45e-09	2.06e-13	negative	SPG20	23111
hsa-miR-548c-3p	6.45e-09	2.5e-13	negative	FBXO30	84085
hsa-miR-548c-3p	6.45e-09	2.81e-13	negative	PDGFC	56034
hsa-miR-548c-3p	6.45e-09	5.45e-13	negative	MEIS1	4211
hsa-miR-548c-3p	6.45e-09	6.86e-13	negative	CNTN1	1272
hsa-miR-548c-3p	6.45e-09	2.17e-12	negative	L3MBTL4	91133
hsa-miR-548c-3p	6.45e-09	4.28e-12	negative	PRDM5	11107
hsa-miR-548c-3p	6.45e-09	8.08e-12	negative	C15orf41	84529
hsa-miR-548c-3p	6.45e-09	3.38e-11	negative	PGR	5241
hsa-miR-548c-3p	6.45e-09	6.34e-11	negative	NREP	9315
hsa-miR-548c-3p	6.45e-09	1.23e-10	negative	TRPS1	7227
hsa-miR-548c-3p	6.45e-09	1.29e-10	negative	LPP	4026
hsa-miR-548c-3p	6.45e-09	1.33e-10	negative	TRPC1	7220
hsa-miR-548c-3p	6.45e-09	2.49e-10	negative	SATB1	6304
hsa-miR-548c-3p	6.45e-09	2.6e-10	negative	PDE4D	5144
hsa-miR-548c-3p	6.45e-09	3.16e-10	negative	AKAP11	11215
hsa-miR-548c-3p	6.45e-09	6.77e-10	negative	KPNA3	3839
hsa-miR-548c-3p	6.45e-09	9.72e-10	negative	DSTN	11034
hsa-miR-548c-3p	6.45e-09	1.02e-09	negative	TP63	8626
hsa-miR-548c-3p	6.45e-09	1.65e-09	negative	KCNMA1	3778
hsa-miR-548c-3p	6.45e-09	1.92e-09	negative	FZD7	8324
hsa-miR-548c-3p	6.45e-09	2.48e-09	negative	PRICKLE2	166336
hsa-miR-548c-3p	6.45e-09	2.5e-09	negative	NR3C1	2908
hsa-miR-548c-3p	6.45e-09	2.51e-09	negative	LPCAT2	54947
hsa-miR-548c-3p	6.45e-09	3.19e-09	negative	ADAM22	53616
hsa-miR-548c-3p	6.45e-09	4.42e-09	negative	CRIM1	51232
hsa-miR-548c-3p	6.45e-09	4.83e-09	negative	MATN2	4147
hsa-miR-548c-3p	6.45e-09	5.73e-09	negative	SREK1IP1	285672
hsa-miR-548c-3p	6.45e-09	5.8e-09	negative	TSHZ3	57616
hsa-miR-548c-3p	6.45e-09	8.67e-09	negative	QSER1	79832
hsa-miR-548c-3p	6.45e-09	1.26e-08	negative	PPAP2B	8613
hsa-miR-548c-3p	6.45e-09	1.29e-08	negative	TMEM237	65062
hsa-miR-548c-3p	6.45e-09	1.73e-08	negative	GLCE	26035
hsa-miR-548c-3p	6.45e-09	1.88e-08	negative	CALM1	801
hsa-miR-548c-3p	6.45e-09	2.33e-08	negative	GLI3	2737
hsa-miR-548c-3p	6.45e-09	2.54e-08	negative	TFDP2	7029
hsa-miR-548c-3p	6.45e-09	2.7e-08	negative	VPS36	51028
hsa-miR-548c-3p	6.45e-09	3.75e-08	negative	RHOQ	23433
hsa-miR-548c-3p	6.45e-09	4.45e-08	negative	LACC1	144811
hsa-miR-548c-3p	6.45e-09	5.44e-08	negative	SSX2IP	117178
hsa-miR-548c-3p	6.45e-09	5.84e-08	negative	REV1	51455
hsa-miR-548c-3p	6.45e-09	7.55e-08	negative	BNC2	54796
hsa-miR-548c-3p	6.45e-09	8.3e-08	negative	TMTC1	83857
hsa-miR-548c-3p	6.45e-09	9.39e-08	negative	AEBP2	121536
hsa-miR-548c-3p	6.45e-09	1.12e-07	negative	KAT6B	23522
hsa-miR-548c-3p	6.45e-09	1.33e-07	negative	CLASP1	23332
hsa-miR-548c-3p	6.45e-09	1.36e-07	negative	GNG12	55970
hsa-miR-548c-3p	6.45e-09	1.53e-07	negative	EIF4ENIF1	56478
hsa-miR-548c-3p	6.45e-09	1.68e-07	negative	KLF12	11278
hsa-miR-548c-3p	6.45e-09	2.65e-07	negative	UGP2	7360
hsa-miR-548c-3p	6.45e-09	2.8e-07	negative	ADAMTS1	9510
hsa-miR-548c-3p	6.45e-09	3.48e-07	negative	ANO1	55107
hsa-miR-548c-3p	6.45e-09	5.98e-07	negative	QKI	9444
hsa-miR-548c-3p	6.45e-09	5.99e-07	negative	CREM	1390
hsa-miR-548c-3p	6.45e-09	8.16e-07	negative	KIAA0232	9778
hsa-miR-548c-3p	6.45e-09	1.08e-06	negative	RNF111	54778
hsa-miR-548c-3p	6.45e-09	1.11e-06	negative	STAT3	6774
hsa-miR-548c-3p	6.45e-09	1.23e-06	negative	DIO2	1734
hsa-miR-548c-3p	6.45e-09	1.39e-06	negative	TNKS	8658
hsa-miR-548c-3p	6.45e-09	1.41e-06	negative	USP12	219333
hsa-miR-548c-3p	6.45e-09	1.42e-06	negative	ARID4A	5926
hsa-miR-548c-3p	6.45e-09	1.71e-06	negative	MKL2	57496
hsa-miR-548c-3p	6.45e-09	1.84e-06	negative	CDC14B	8555
hsa-miR-548c-3p	6.45e-09	1.89e-06	negative	ERCC6L2	375748
hsa-miR-548c-3p	6.45e-09	2.09e-06	negative	CNOT4	4850
hsa-miR-548c-3p	6.45e-09	2.26e-06	negative	ID2	3398
hsa-miR-548c-3p	6.45e-09	2.58e-06	negative	PTER	9317
hsa-miR-548c-3p	6.45e-09	2.75e-06	negative	LIMA1	51474
hsa-miR-548c-3p	6.45e-09	2.8e-06	negative	FAM169A	26049
hsa-miR-548c-3p	6.45e-09	2.91e-06	negative	STON1	11037
hsa-miR-548c-3p	6.45e-09	4.15e-06	negative	WDR44	54521
hsa-miR-548c-3p	6.45e-09	4.34e-06	negative	KPNA4	3840
hsa-miR-548c-3p	6.45e-09	4.44e-06	negative	AMFR	267
hsa-miR-548c-3p	6.45e-09	4.53e-06	negative	FBXO3	26273
hsa-miR-548c-3p	6.45e-09	4.55e-06	negative	MIER1	57708
hsa-miR-548c-3p	6.45e-09	6.27e-06	negative	HMCN1	83872
hsa-miR-548c-3p	6.45e-09	7.89e-06	negative	ARMC8	25852
hsa-miR-548c-3p	6.45e-09	1.27e-05	negative	LNPEP	4012
hsa-miR-548c-3p	6.45e-09	1.5e-05	negative	ZEB2	9839
hsa-miR-548c-3p	6.45e-09	1.75e-05	negative	PAN3	255967
hsa-miR-548c-3p	6.45e-09	1.89e-05	negative	RUNX1T1	862
hsa-miR-548c-3p	6.45e-09	1.98e-05	negative	KDM4C	23081
hsa-miR-548c-3p	6.45e-09	2.52e-05	negative	FAM122A	116224
hsa-miR-548c-3p	6.45e-09	2.58e-05	negative	DENND5A	23258
hsa-miR-548c-3p	6.45e-09	2.71e-05	negative	FDFT1	2222
hsa-miR-548c-3p	6.45e-09	3.01e-05	negative	CDC73	79577
hsa-miR-548c-3p	6.45e-09	3.2e-05	negative	ARHGAP5	394
hsa-miR-548c-3p	6.45e-09	3.24e-05	negative	WBP5	51186
hsa-miR-548c-3p	6.45e-09	3.35e-05	negative	RCOR3	55758
hsa-miR-548c-3p	6.45e-09	3.37e-05	negative	DARS	1615
hsa-miR-548c-3p	6.45e-09	4.14e-05	negative	PRSS23	11098
hsa-miR-548c-3p	6.45e-09	4.28e-05	negative	NAP1L5	266812
hsa-miR-548c-3p	6.45e-09	4.38e-05	negative	LIMK2	3985
hsa-miR-548c-3p	6.45e-09	4.38e-05	negative	ZNF148	7707
hsa-miR-548c-3p	6.45e-09	4.51e-05	negative	SMAD3	4088
hsa-miR-548c-3p	6.45e-09	4.91e-05	negative	CLOCK	9575
hsa-miR-548c-3p	6.45e-09	5.53e-05	negative	SOCS6	9306
hsa-miR-548c-3p	6.45e-09	5.58e-05	negative	PPM1A	5494
hsa-miR-548c-3p	6.45e-09	6.25e-05	negative	EPAS1	2034
hsa-miR-548c-3p	6.45e-09	7.88e-05	negative	TGFBR2	7048
hsa-miR-548c-3p	6.45e-09	8.45e-05	negative	NID2	22795
hsa-miR-548c-3p	6.45e-09	8.95e-05	negative	ERBB2IP	55914
hsa-miR-548c-3p	6.45e-09	8.98e-05	negative	MLL5	55904
hsa-miR-548c-3p	6.45e-09	9.13e-05	negative	NFYB	4801
hsa-miR-548c-3p	6.45e-09	0.000101	negative	TARDBP	23435
hsa-miR-548c-3p	6.45e-09	0.000101	negative	EIF2C4	192670
hsa-miR-548c-3p	6.45e-09	0.000102	negative	ITGA9	3680
hsa-miR-548c-3p	6.45e-09	0.00012	negative	C11orf58	10944
hsa-miR-548c-3p	6.45e-09	0.00013	negative	HSD17B6	8630
hsa-miR-548c-3p	6.45e-09	0.000139	negative	GPBP1	65056
hsa-miR-548c-3p	6.45e-09	0.00014	negative	CLK4	57396
hsa-miR-548c-3p	6.45e-09	0.00015	negative	UTY	7404
hsa-miR-548c-3p	6.45e-09	0.000152	negative	ZRANB2	9406
hsa-miR-548c-3p	6.45e-09	0.000153	negative	BCL11A	53335
hsa-miR-548c-3p	6.45e-09	0.000159	negative	C7orf60	154743
hsa-miR-548c-3p	6.45e-09	0.00016	negative	LRP6	4040
hsa-miR-548c-3p	6.45e-09	0.000167	negative	MARCH7	64844
hsa-miR-548c-3p	6.45e-09	0.000169	negative	C18orf1	753
hsa-miR-548c-3p	6.45e-09	0.000176	negative	MPP5	64398
hsa-miR-548c-3p	6.45e-09	0.000201	negative	BACH1	571
hsa-miR-548c-3p	6.45e-09	0.000208	negative	HDGFRP3	50810
hsa-miR-548c-3p	6.45e-09	0.000212	negative	WAPAL	23063
hsa-miR-548c-3p	6.45e-09	0.000212	negative	PIEZO2	63895
hsa-miR-548c-3p	6.45e-09	0.000227	negative	KPNA1	3836
hsa-miR-548c-3p	6.45e-09	0.000238	negative	HIBADH	11112
hsa-miR-548c-3p	6.45e-09	0.000239	negative	COPS2	9318
hsa-miR-548c-3p	6.45e-09	0.000262	negative	TOB1	10140
hsa-miR-548c-3p	6.45e-09	0.000263	negative	MAPK1	5594
hsa-miR-548c-3p	6.45e-09	0.000272	negative	TMCC1	23023
hsa-miR-548c-3p	6.45e-09	0.000285	negative	CDH11	1009
hsa-miR-548c-3p	6.45e-09	0.000297	negative	SPTBN1	6711
hsa-miR-548c-3p	6.45e-09	0.000301	negative	SF3B1	23451
hsa-miR-548c-3p	6.45e-09	0.000302	negative	USP31	57478
hsa-miR-548c-3p	6.45e-09	0.000311	negative	NOVA1	4857
hsa-miR-548c-3p	6.45e-09	0.000337	negative	LTN1	26046
hsa-miR-548c-3p	6.45e-09	0.000367	negative	RBBP8	5932
hsa-miR-548c-3p	6.45e-09	0.000375	negative	CHST9	83539
hsa-miR-548c-3p	6.45e-09	0.000391	negative	TIA1	7072
hsa-miR-548c-3p	6.45e-09	0.000468	negative	CDKN1B	1027
hsa-miR-548c-3p	6.45e-09	0.000473	negative	CTNND1	1500
hsa-miR-548c-3p	6.45e-09	0.000518	negative	EXTL3	2137
hsa-miR-548c-3p	6.45e-09	0.000547	negative	DYRK1A	1859
hsa-miR-548c-3p	6.45e-09	0.000553	negative	SYNE2	23224
hsa-miR-548c-3p	6.45e-09	0.000611	negative	CDK6	1021
hsa-miR-548c-3p	6.45e-09	0.000693	negative	AHCYL1	10768
hsa-miR-548c-3p	6.45e-09	0.000704	negative	GPATCH8	23131
hsa-miR-548c-3p	6.45e-09	0.000757	negative	RANBP9	10048
hsa-miR-548c-3p	6.45e-09	0.00077	negative	MRAS	22808
hsa-miR-548c-3p	6.45e-09	0.00078	negative	LAMP1	3916
hsa-miR-548c-3p	6.45e-09	0.00079	negative	DLG2	1740
hsa-miR-548c-3p	6.45e-09	0.000837	negative	NEK1	4750
hsa-miR-548c-3p	6.45e-09	0.00109	negative	ANK2	287
hsa-miR-548c-3p	6.45e-09	0.00109	negative	PYROXD1	79912
hsa-miR-548c-3p	6.45e-09	0.00118	negative	DRAM1	55332
hsa-miR-548c-3p	6.45e-09	0.00119	negative	DACH1	1602
hsa-miR-548c-3p	6.45e-09	0.00129	negative	ZMYM2	7750
hsa-miR-548c-3p	6.45e-09	0.00132	negative	TRAPPC8	22878
hsa-miR-548c-3p	6.45e-09	0.00133	negative	ACPL2	92370
hsa-miR-548c-3p	6.45e-09	0.00133	negative	WDFY3	23001
hsa-miR-548c-3p	6.45e-09	0.00134	negative	ZNF638	27332
hsa-miR-548c-3p	6.45e-09	0.00137	negative	COG3	83548
hsa-miR-548c-3p	6.45e-09	0.00142	negative	WDR52	55779
hsa-miR-548c-3p	6.45e-09	0.00147	negative	ARID2	196528
hsa-miR-548c-3p	6.45e-09	0.00149	negative	ACTR2	10097
hsa-miR-548c-3p	6.45e-09	0.0015	negative	ZNF518A	9849
hsa-miR-548c-3p	6.45e-09	0.00171	negative	DDHD1	80821
hsa-miR-548c-3p	6.45e-09	0.00172	negative	INO80D	54891
hsa-miR-548c-3p	6.45e-09	0.00179	negative	ARID1B	57492
hsa-miR-548c-3p	6.45e-09	0.00182	negative	TMEM50B	757
hsa-miR-548c-3p	6.45e-09	0.00191	negative	MPP7	143098
hsa-miR-548c-3p	6.45e-09	0.0021	negative	SMARCE1	6605
hsa-miR-548c-3p	6.45e-09	0.00219	negative	NR4A3	8013
hsa-miR-548c-3p	6.45e-09	0.00232	negative	RNF169	254225
hsa-miR-548c-3p	6.45e-09	0.00238	negative	TRA2B	6434
hsa-miR-548c-3p	6.45e-09	0.00242	negative	CAPN7	23473
hsa-miR-548c-3p	6.45e-09	0.00245	negative	PUM2	23369
hsa-miR-548c-3p	6.45e-09	0.00247	negative	ELK4	2005
hsa-miR-548c-3p	6.45e-09	0.00249	negative	SMC5	23137
hsa-miR-548c-3p	6.45e-09	0.0025	negative	NAB1	4664
hsa-miR-548c-3p	6.45e-09	0.00259	negative	INO80	54617
hsa-miR-548c-3p	6.45e-09	0.00264	negative	PODN	127435
hsa-miR-548c-3p	6.45e-09	0.00267	negative	THUMPD2	80745
hsa-miR-548c-3p	6.45e-09	0.00268	negative	RICTOR	253260
hsa-miR-548c-3p	6.45e-09	0.00269	negative	PIP4K2A	5305
hsa-miR-548c-3p	6.45e-09	0.0027	negative	ATP2C2	9914
hsa-miR-548c-3p	6.45e-09	0.00278	negative	CASP8AP2	9994
hsa-miR-548c-3p	6.45e-09	0.00284	negative	NDFIP2	54602
hsa-miR-548c-3p	6.45e-09	0.00297	negative	CMAS	55907
hsa-miR-548c-3p	6.45e-09	0.0032	negative	SRSF3	6428
hsa-miR-548c-3p	6.45e-09	0.00321	negative	DDX42	11325
hsa-miR-548c-3p	6.45e-09	0.00332	negative	HSPB11	51668
hsa-miR-548c-3p	6.45e-09	0.00332	negative	PPP1CB	5500
hsa-miR-548c-3p	6.45e-09	0.00339	negative	PICALM	8301
hsa-miR-548c-3p	6.45e-09	0.00386	negative	NUS1	116150
hsa-miR-548c-3p	6.45e-09	0.00387	negative	BCLAF1	9774
hsa-miR-548c-3p	6.45e-09	0.00389	negative	FOXO4	4303
hsa-miR-548c-3p	6.45e-09	0.00406	negative	KCTD18	130535
hsa-miR-548c-3p	6.45e-09	0.00407	negative	RAPGEF2	9693
hsa-miR-548c-3p	6.45e-09	0.00425	negative	MYL12B	103910
hsa-miR-548c-3p	6.45e-09	0.00432	negative	SLC7A8	23428
hsa-miR-548c-3p	6.45e-09	0.00436	negative	CCNL1	57018
hsa-miR-548c-3p	6.45e-09	7.24e-11	positive	RCC1	1104
hsa-miR-548c-3p	6.45e-09	1.14e-09	positive	ONECUT2	9480
hsa-miR-548c-3p	6.45e-09	3.48e-09	positive	MGAT4B	11282
hsa-miR-548c-3p	6.45e-09	4.22e-09	positive	HOXC6	3223
hsa-miR-548c-3p	6.45e-09	5.34e-09	positive	SLC35A2	7355
hsa-miR-548c-3p	6.45e-09	7.78e-09	positive	RRM2	6241
hsa-miR-548c-3p	6.45e-09	1e-08	positive	TTYH3	80727
hsa-miR-548c-3p	6.45e-09	2.69e-08	positive	SSTR1	6751
hsa-miR-548c-3p	6.45e-09	6.63e-08	positive	SS18L1	26039
hsa-miR-548c-3p	6.45e-09	8.73e-07	positive	ADRA2A	150
hsa-miR-548c-3p	6.45e-09	1.22e-06	positive	CBX8	57332
hsa-miR-548c-3p	6.45e-09	1.5e-06	positive	BAHCC1	57597
hsa-miR-548c-3p	6.45e-09	1.64e-06	positive	NKX2-2	4821
hsa-miR-548c-3p	6.45e-09	1.71e-06	positive	ZIC2	7546
hsa-miR-548c-3p	6.45e-09	2.3e-06	positive	DAZAP1	26528
hsa-miR-548c-3p	6.45e-09	2.88e-06	positive	TRAF4	9618
hsa-miR-548c-3p	6.45e-09	3.9e-06	positive	CTNND2	1501
hsa-miR-548c-3p	6.45e-09	4.82e-06	positive	PPP1R26	9858
hsa-miR-548c-3p	6.45e-09	5.22e-06	positive	OTP	23440
hsa-miR-548c-3p	6.45e-09	6.73e-06	positive	DLX2	1746
hsa-miR-548c-3p	6.45e-09	7.42e-06	positive	RBM15B	29890
hsa-miR-548c-3p	6.45e-09	9.5e-06	positive	UCK2	7371
hsa-miR-548c-3p	6.45e-09	1.06e-05	positive	DLX1	1745
hsa-miR-548c-3p	6.45e-09	1.75e-05	positive	IGDCC3	9543
hsa-miR-548c-3p	6.45e-09	2.15e-05	positive	KIAA0101	9768
hsa-miR-548c-3p	6.45e-09	2.45e-05	positive	UNKL	64718
hsa-miR-548c-3p	6.45e-09	3.64e-05	positive	FGF18	8817
hsa-miR-548c-3p	6.45e-09	3.97e-05	positive	CHRD	8646
hsa-miR-548c-3p	6.45e-09	5.15e-05	positive	ZBTB46	140685
hsa-miR-548c-3p	6.45e-09	5.85e-05	positive	NFAM1	150372
hsa-miR-548c-3p	6.45e-09	6.32e-05	positive	HCN4	10021
hsa-miR-548c-3p	6.45e-09	7.51e-05	positive	RAB11FIP3	9727
hsa-miR-548c-3p	6.45e-09	8.2e-05	positive	LRTM2	654429
hsa-miR-548c-3p	6.45e-09	8.29e-05	positive	LINGO1	84894
hsa-miR-548c-3p	6.45e-09	9.19e-05	positive	WAS	7454
hsa-miR-548c-3p	6.45e-09	9.91e-05	positive	DUSP8	1850
hsa-miR-548c-3p	6.45e-09	0.000103	positive	TMEM132E	124842
hsa-miR-548c-3p	6.45e-09	0.000108	positive	RASGEF1A	221002
hsa-miR-548c-3p	6.45e-09	0.000114	positive	FMNL1	752
hsa-miR-548c-3p	6.45e-09	0.000116	positive	AMMECR1	9949
hsa-miR-548c-3p	6.45e-09	0.000122	positive	ZNF281	23528
hsa-miR-548c-3p	6.45e-09	0.000214	positive	BBC3	27113
hsa-miR-548c-3p	6.45e-09	0.000252	positive	AGAP1	116987
hsa-miR-548c-3p	6.45e-09	0.00029	positive	SP6	80320
hsa-miR-548c-3p	6.45e-09	0.000389	positive	HMGA2	8091
hsa-miR-548c-3p	6.45e-09	0.000434	positive	RRAD	6236
hsa-miR-548c-3p	6.45e-09	0.000444	positive	PCK1	5105
hsa-miR-548c-3p	6.45e-09	0.000444	positive	TRIM63	84676
hsa-miR-548c-3p	6.45e-09	0.000458	positive	HNF4G	3174
hsa-miR-548c-3p	6.45e-09	0.000494	positive	SLC9A3R1	9368
hsa-miR-548c-3p	6.45e-09	0.000591	positive	ZNF319	57567
hsa-miR-548c-3p	6.45e-09	0.000724	positive	PCSK1	5122
hsa-miR-548c-3p	6.45e-09	0.000729	positive	SPOCD1	90853
hsa-miR-548c-3p	6.45e-09	0.000792	positive	NR0B2	8431
hsa-miR-548c-3p	6.45e-09	0.000947	positive	C1orf94	84970
hsa-miR-548c-3p	6.45e-09	0.00102	positive	TET3	200424
hsa-miR-548c-3p	6.45e-09	0.00104	positive	DMP1	1758
hsa-miR-548c-3p	6.45e-09	0.00105	positive	E2F3	1871
hsa-miR-548c-3p	6.45e-09	0.00111	positive	BEND4	389206
hsa-miR-548c-3p	6.45e-09	0.00151	positive	XKR6	286046
hsa-miR-548c-3p	6.45e-09	0.00158	positive	CRMP1	1400
hsa-miR-548c-3p	6.45e-09	0.00162	positive	PAQR9	344838
hsa-miR-548c-3p	6.45e-09	0.00221	positive	CISH	1154
hsa-miR-548c-3p	6.45e-09	0.0023	positive	DYRK2	8445
hsa-miR-548c-3p	6.45e-09	0.00247	positive	PRSS22	64063
hsa-miR-548c-3p	6.45e-09	0.00271	positive	SMOX	54498
hsa-miR-548c-3p	6.45e-09	0.00305	positive	TRIM9	114088
hsa-miR-548c-3p	6.45e-09	0.00309	positive	OAF	220323
hsa-miR-548c-3p	6.45e-09	0.00335	positive	CCER1	196477
hsa-miR-548c-3p	6.45e-09	0.00346	positive	KDM6B	23135
hsa-miR-548c-3p	6.45e-09	0.00354	positive	LARP1	23367
hsa-miR-548c-3p	6.45e-09	0.00362	positive	NKAIN2	154215
hsa-miR-548c-3p	6.45e-09	0.00362	positive	OTX2	5015
hsa-miR-548c-3p	6.45e-09	0.00367	positive	LRRC4	64101
hsa-miR-548c-3p	6.45e-09	0.00386	positive	SYNGAP1	8831
hsa-miR-548c-3p	6.45e-09	0.004	positive	TMEM132B	114795
hsa-miR-548c-3p	6.45e-09	0.00403	positive	FAM196A	642938
hsa-miR-548c-3p	6.45e-09	0.00406	positive	PLAGL2	5326
hsa-miR-548c-3p	6.45e-09	0.00411	positive	DCX	1641
hsa-miR-548c-3p	6.45e-09	0.00418	positive	PPP4R4	57718
hsa-miR-133b	6.63e-09	2.44e-09	negative	UBFD1	56061
hsa-miR-133b	6.63e-09	6.48e-08	negative	UNC13A	23025
hsa-miR-133b	6.63e-09	2.56e-07	negative	LRRC7	57554
hsa-miR-133b	6.63e-09	2.81e-06	negative	TMEM180	79847
hsa-miR-133b	6.63e-09	9.74e-06	negative	NRIP3	56675
hsa-miR-133b	6.63e-09	1.43e-05	negative	ZHX3	23051
hsa-miR-133b	6.63e-09	5.66e-05	negative	PKHD1	5314
hsa-miR-133b	6.63e-09	5.94e-05	negative	ARHGDIA	396
hsa-miR-133b	6.63e-09	9.07e-05	negative	SLC4A1	6521
hsa-miR-133b	6.63e-09	0.000161	negative	SOX4	6659
hsa-miR-133b	6.63e-09	0.000247	negative	SLC6A1	6529
hsa-miR-133b	6.63e-09	0.000251	negative	RCL1	10171
hsa-miR-133b	6.63e-09	0.00045	negative	GLRA2	2742
hsa-miR-133b	6.63e-09	0.000526	negative	DCLRE1A	9937
hsa-miR-133b	6.63e-09	0.000585	negative	GRM5	2915
hsa-miR-133b	6.63e-09	0.000663	negative	FOXP4	116113
hsa-miR-133b	6.63e-09	0.000796	negative	TRAM2	9697
hsa-miR-133b	6.63e-09	0.000824	negative	SF3B4	10262
hsa-miR-133b	6.63e-09	0.000928	negative	DOLPP1	57171
hsa-miR-133b	6.63e-09	0.00192	negative	PURB	5814
hsa-miR-133b	6.63e-09	0.00211	negative	SOLH	6650
hsa-miR-133b	6.63e-09	0.00215	negative	MARCH9	92979
hsa-miR-133b	6.63e-09	0.00229	negative	NAGS	162417
hsa-miR-133b	6.63e-09	0.00249	negative	SMARCD1	6602
hsa-miR-133b	6.63e-09	0.00306	negative	ZNF354A	6940
hsa-miR-133b	6.63e-09	9.51e-18	positive	KCNMA1	3778
hsa-miR-133b	6.63e-09	1.81e-16	positive	RARB	5915
hsa-miR-133b	6.63e-09	4.8e-16	positive	JAZF1	221895
hsa-miR-133b	6.63e-09	1.79e-15	positive	FGFR1	2260
hsa-miR-133b	6.63e-09	1.57e-14	positive	EPHA7	2045
hsa-miR-133b	6.63e-09	3.4e-12	positive	GABARAPL1	23710
hsa-miR-133b	6.63e-09	6.19e-11	positive	CALM1	801
hsa-miR-133b	6.63e-09	1.49e-10	positive	AFAP1	60312
hsa-miR-133b	6.63e-09	8.38e-10	positive	PPP2CB	5516
hsa-miR-133b	6.63e-09	4.39e-09	positive	MMP14	4323
hsa-miR-133b	6.63e-09	1.08e-08	positive	ITGA3	3675
hsa-miR-133b	6.63e-09	2.41e-08	positive	TGFBR1	7046
hsa-miR-133b	6.63e-09	3.19e-08	positive	CAP1	10487
hsa-miR-133b	6.63e-09	7.65e-08	positive	LARP6	55323
hsa-miR-133b	6.63e-09	2.32e-07	positive	MYH9	4627
hsa-miR-133b	6.63e-09	5.71e-07	positive	PITPNB	23760
hsa-miR-133b	6.63e-09	7.29e-07	positive	CYLD	1540
hsa-miR-133b	6.63e-09	1.23e-06	positive	LAMB3	3914
hsa-miR-133b	6.63e-09	2.67e-06	positive	C5orf25	375484
hsa-miR-133b	6.63e-09	1.03e-05	positive	NDRG1	10397
hsa-miR-133b	6.63e-09	2.12e-05	positive	FAM46A	55603
hsa-miR-133b	6.63e-09	2.45e-05	positive	MRC2	9902
hsa-miR-133b	6.63e-09	0.000231	positive	SGK1	6446
hsa-miR-133b	6.63e-09	0.000292	positive	LASP1	3927
hsa-miR-133b	6.63e-09	0.000293	positive	VAMP2	6844
hsa-miR-133b	6.63e-09	0.000309	positive	CEP85L	387119
hsa-miR-133b	6.63e-09	0.000324	positive	TAGLN2	8407
hsa-miR-133b	6.63e-09	0.000448	positive	KIAA0430	9665
hsa-miR-133b	6.63e-09	0.000541	positive	EPS15	2060
hsa-miR-133b	6.63e-09	0.000574	positive	MECOM	2122
hsa-miR-133b	6.63e-09	0.000796	positive	ACAT2	39
hsa-miR-133b	6.63e-09	0.00093	positive	CTBP2	1488
hsa-miR-133b	6.63e-09	0.00268	positive	DLG2	1740
hsa-miR-16	6.75e-09	5.73e-10	negative	ELMOD1	55531
hsa-miR-16	6.75e-09	1.36e-08	negative	NLRX1	79671
hsa-miR-16	6.75e-09	8.62e-08	negative	OSCP1	127700
hsa-miR-16	6.75e-09	1.39e-07	negative	CCNE1	898
hsa-miR-16	6.75e-09	1.7e-07	negative	MEOX2	4223
hsa-miR-16	6.75e-09	1.87e-07	negative	FCHSD1	89848
hsa-miR-16	6.75e-09	2.82e-07	negative	CYP26B1	56603
hsa-miR-16	6.75e-09	4.19e-07	negative	KATNB1	10300
hsa-miR-16	6.75e-09	4.65e-07	negative	AGAP3	116988
hsa-miR-16	6.75e-09	9.09e-07	negative	KCTD8	386617
hsa-miR-16	6.75e-09	9.44e-07	negative	EPHA1	2041
hsa-miR-16	6.75e-09	9.5e-07	negative	SALL1	6299
hsa-miR-16	6.75e-09	1.04e-06	negative	KLHDC8B	200942
hsa-miR-16	6.75e-09	1.14e-06	negative	PTH	5741
hsa-miR-16	6.75e-09	1.25e-06	negative	SCN3A	6328
hsa-miR-16	6.75e-09	1.26e-06	negative	DLL4	54567
hsa-miR-16	6.75e-09	1.5e-06	negative	OTX1	5013
hsa-miR-16	6.75e-09	1.72e-06	negative	CNNM2	54805
hsa-miR-16	6.75e-09	2.44e-06	negative	TFAP2D	83741
hsa-miR-16	6.75e-09	2.48e-06	negative	TARBP2	6895
hsa-miR-16	6.75e-09	2.75e-06	negative	PNPLA6	10908
hsa-miR-16	6.75e-09	2.81e-06	negative	WNT3A	89780
hsa-miR-16	6.75e-09	3.03e-06	negative	KY	339855
hsa-miR-16	6.75e-09	3.27e-06	negative	DYRK1B	9149
hsa-miR-16	6.75e-09	4.67e-06	negative	EDA	1896
hsa-miR-16	6.75e-09	6.79e-06	negative	MNT	4335
hsa-miR-16	6.75e-09	8.55e-06	negative	HTRA2	27429
hsa-miR-16	6.75e-09	1.01e-05	negative	CARD10	29775
hsa-miR-16	6.75e-09	1.13e-05	negative	PFKFB4	5210
hsa-miR-16	6.75e-09	1.21e-05	negative	RHOBTB2	23221
hsa-miR-16	6.75e-09	1.43e-05	negative	LRP2	4036
hsa-miR-16	6.75e-09	1.52e-05	negative	PLCD1	5333
hsa-miR-16	6.75e-09	1.53e-05	negative	ST8SIA3	51046
hsa-miR-16	6.75e-09	1.59e-05	negative	E2F7	144455
hsa-miR-16	6.75e-09	2.04e-05	negative	EXOC3L2	90332
