Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
51455	REV1	5.64e-10	2.43e-05	positive	hsa-miR-30b
80176	SPSB1	5.89e-10	2.77e-06	negative	hsa-miR-96
80176	SPSB1	5.89e-10	1.06e-05	positive	hsa-miR-142-5p
5295	PIK3R1	6.49e-10	5.27e-10	positive	hsa-miR-455-3p
22878	TRAPPC8	6.5e-10	3.31e-10	positive	hsa-miR-374b
79834	PEAK1	6.97e-10	6.96e-15	negative	hsa-miR-25
79834	PEAK1	6.97e-10	8.99e-12	negative	hsa-miR-32
79834	PEAK1	6.97e-10	2.61e-09	negative	hsa-miR-92a
79834	PEAK1	6.97e-10	0.000257	positive	hsa-miR-30c
5355	PLP2	7.14e-10	7.14e-10	negative	hsa-miR-7
79632	FAM184A	8.52e-10	2.07e-07	negative	hsa-miR-148b
79632	FAM184A	8.52e-10	3.93e-11	positive	hsa-miR-152
79632	FAM184A	8.52e-10	1.54e-07	positive	hsa-miR-27b
79632	FAM184A	8.52e-10	4.16e-05	positive	hsa-miR-27a
627	BDNF	9.11e-10	9.11e-10	negative	hsa-miR-182
5139	PDE3A	9.82e-10	8.21e-09	positive	hsa-miR-27b
5139	PDE3A	9.82e-10	2.55e-08	positive	hsa-miR-27a
287	ANK2	1.38e-09	1.38e-09	positive	hsa-miR-139-5p
4605	MYBL2	1.61e-09	1.44e-10	negative	hsa-miR-30c
4605	MYBL2	1.61e-09	4.25e-10	negative	hsa-miR-29c
29994	BAZ2B	1.66e-09	1.04e-05	negative	hsa-miR-92b
29994	BAZ2B	1.66e-09	5.24e-06	positive	hsa-miR-455-5p
818	CAMK2G	1.66e-09	1.66e-09	negative	hsa-miR-33b
1657	DMXL1	1.92e-09	2.06e-09	positive	hsa-miR-374a
1657	DMXL1	1.92e-09	5.95e-08	positive	hsa-miR-363
9689	BZW1	2.2e-09	4.72e-09	positive	hsa-let-7e
9689	BZW1	2.2e-09	3.45e-06	positive	hsa-let-7c
5903	RANBP2	2.26e-09	1.82e-10	positive	hsa-let-7f
5903	RANBP2	2.26e-09	6.02e-08	positive	hsa-let-7c
5903	RANBP2	2.26e-09	5.67e-07	positive	hsa-miR-199b-5p
5903	RANBP2	2.26e-09	4.42e-05	positive	hsa-let-7b
7168	TPM1	2.36e-09	8.63e-12	positive	hsa-miR-29a
7168	TPM1	2.36e-09	2.17e-07	positive	hsa-miR-29b
57631	LRCH2	2.36e-09	5.15e-06	negative	hsa-miR-96
57631	LRCH2	2.36e-09	8.5e-15	positive	hsa-miR-139-5p
57631	LRCH2	2.36e-09	9.03e-05	positive	hsa-miR-101
8543	LMO4	2.84e-09	6.35e-07	negative	hsa-miR-18b
8543	LMO4	2.84e-09	3.98e-08	positive	hsa-miR-143
9317	PTER	3.06e-09	4.54e-09	positive	hsa-miR-26b
9317	PTER	3.06e-09	1.14e-05	positive	hsa-miR-26a
677	ZFP36L1	3.54e-09	3.54e-09	negative	hsa-miR-96
7371	UCK2	3.59e-09	3.59e-09	positive	hsa-miR-96
3159	HMGA1	4.07e-09	3.33e-08	negative	hsa-miR-26b
3159	HMGA1	4.07e-09	3.78e-08	negative	hsa-miR-26a
8525	DGKZ	4.27e-09	6.26e-10	negative	hsa-miR-30b
8525	DGKZ	4.27e-09	1.66e-05	negative	hsa-miR-30c
7804	LRP8	4.34e-09	6.72e-10	negative	hsa-miR-130a
7804	LRP8	4.34e-09	0.00688	negative	hsa-miR-454
1760	DMPK	4.54e-09	6.47e-09	negative	hsa-miR-148a
1760	DMPK	4.54e-09	0.000298	negative	hsa-miR-148b
4440	MSI1	4.71e-09	4.71e-09	negative	hsa-miR-125a-5p
7551	ZNF3	5.76e-09	6.95e-07	positive	hsa-miR-19b
7551	ZNF3	5.76e-09	2.04e-05	positive	hsa-miR-130b
7750	ZMYM2	6.64e-09	1.92e-09	positive	hsa-miR-582-5p
7750	ZMYM2	6.64e-09	1.65e-08	positive	hsa-miR-107
7750	ZMYM2	6.64e-09	4.38e-05	positive	hsa-miR-23b
27125	AFF4	6.78e-09	6.66e-09	positive	hsa-miR-27b
