Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
1783	DYNC1LI2	2.9e-05	5e-04	negative	hsa-miR-130b
1783	DYNC1LI2	2.9e-05	0.0018	positive	hsa-miR-301a
81037	CLPTM1L	2.91e-05	2.91e-05	positive	hsa-miR-182
80853	JHDM1D	2.91e-05	0.0026	negative	hsa-miR-498
80853	JHDM1D	2.91e-05	3.2e-05	positive	hsa-miR-590-5p
65975	STK33	3.09e-05	4.32e-10	negative	hsa-miR-106b
65975	STK33	3.09e-05	1.38e-06	negative	hsa-miR-19b
65975	STK33	3.09e-05	2.68e-06	negative	hsa-miR-19a
4296	MAP3K11	3.11e-05	3.06e-05	negative	hsa-miR-125a-5p
4296	MAP3K11	3.11e-05	3.89e-05	negative	hsa-miR-125b
4296	MAP3K11	3.11e-05	4.21e-05	negative	hsa-miR-199b-5p
4296	MAP3K11	3.11e-05	0.00344	positive	hsa-miR-760
5325	PLAGL1	3.12e-05	2.46e-07	positive	hsa-miR-23a
5325	PLAGL1	3.12e-05	0.00147	positive	hsa-miR-135a
79893	GGNBP2	3.18e-05	3.42e-05	positive	hsa-miR-23b
79893	GGNBP2	3.18e-05	0.000225	positive	hsa-miR-224
79893	GGNBP2	3.18e-05	0.000471	positive	hsa-miR-135a
10152	ABI2	3.2e-05	3.2e-05	positive	hsa-miR-205
6117	RPA1	3.21e-05	3.21e-05	negative	hsa-miR-345
8835	SOCS2	3.34e-05	3.34e-05	positive	hsa-miR-101
5170	PDPK1	3.5e-05	3.5e-05	positive	hsa-miR-200c
83698	CALN1	3.51e-05	3.51e-05	positive	hsa-miR-671-5p
2553	GABPB1	3.54e-05	1.79e-10	positive	hsa-miR-20a
2553	GABPB1	3.54e-05	7.09e-05	positive	hsa-miR-106b
55031	USP47	3.65e-05	1.96e-05	positive	hsa-miR-101
9665	KIAA0430	3.78e-05	3.78e-05	positive	hsa-miR-429
9213	XPR1	3.81e-05	3.81e-05	positive	hsa-miR-205
10933	MORF4L1	3.82e-05	0.00153	negative	hsa-miR-574-5p
10933	MORF4L1	3.82e-05	4.13e-06	positive	hsa-miR-338-3p
10933	MORF4L1	3.82e-05	2.94e-05	positive	hsa-miR-495
84258	SYT3	3.83e-05	0.000169	negative	hsa-miR-195
84258	SYT3	3.83e-05	0.00157	negative	hsa-miR-181c
1182	CLCN3	3.85e-05	8.09e-05	negative	hsa-miR-206
10059	DNM1L	3.85e-05	3.85e-05	negative	hsa-miR-575
10675	CSPG5	3.88e-05	3.88e-05	positive	hsa-miR-486-5p
80256	FAM214B	3.89e-05	7.56e-07	negative	hsa-miR-98
80256	FAM214B	3.89e-05	3.41e-05	negative	hsa-let-7f
80256	FAM214B	3.89e-05	0.000577	negative	hsa-let-7a
55321	TMEM74B	4.13e-05	1e-05	negative	hsa-miR-195
55321	TMEM74B	4.13e-05	0.000341	negative	hsa-miR-15a
55321	TMEM74B	4.13e-05	0.00703	negative	hsa-miR-497
54544	CRCT1	4.24e-05	1.13e-05	negative	hsa-let-7e
54544	CRCT1	4.24e-05	7.48e-05	negative	hsa-let-7d
54544	CRCT1	4.24e-05	0.000655	negative	hsa-miR-98
54544	CRCT1	4.24e-05	0.000674	negative	hsa-let-7c
11320	MGAT4A	4.36e-05	5.06e-06	positive	hsa-miR-142-3p
11320	MGAT4A	4.36e-05	4.19e-05	positive	hsa-let-7a
11320	MGAT4A	4.36e-05	4.77e-05	positive	hsa-let-7f
11320	MGAT4A	4.36e-05	0.000807	positive	hsa-let-7g
11320	MGAT4A	4.36e-05	0.00167	positive	hsa-let-7d
11320	MGAT4A	4.36e-05	0.00193	positive	hsa-let-7b
11320	MGAT4A	4.36e-05	0.00373	positive	hsa-let-7i
2787	GNG5	4.37e-05	3.55e-05	positive	hsa-miR-98
2787	GNG5	4.37e-05	5.99e-05	positive	hsa-let-7f
2787	GNG5	4.37e-05	6.14e-05	positive	hsa-let-7a
2787	GNG5	4.37e-05	0.000146	positive	hsa-let-7g
2787	GNG5	4.37e-05	0.000233	positive	hsa-let-7d
2787	GNG5	4.37e-05	0.000682	positive	hsa-let-7c
2787	GNG5	4.37e-05	0.000723	positive	hsa-let-7e
2787	GNG5	4.37e-05	0.00251	positive	hsa-let-7i
2787	GNG5	4.37e-05	0.00346	positive	hsa-miR-183
57158	JPH2	4.39e-05	4.39e-05	positive	hsa-miR-92b
90523	MLIP	4.47e-05	4.47e-05	negative	hsa-miR-29a
83464	APH1B	4.56e-05	4.56e-05	positive	hsa-miR-218
3836	KPNA1	4.66e-05	0.00019	negative	hsa-miR-933
5141	PDE4A	4.68e-05	6.6e-05	negative	hsa-miR-19a
5141	PDE4A	4.68e-05	0.000584	positive	hsa-miR-139-5p
1105	CHD1	4.68e-05	1.2e-05	positive	hsa-miR-200b
1105	CHD1	4.68e-05	0.000176	positive	hsa-miR-429
1847	DUSP5	4.68e-05	4.68e-05	negative	hsa-miR-32
51773	RSF1	4.76e-05	2.41e-05	positive	hsa-miR-374a
51773	RSF1	4.76e-05	3.21e-05	positive	hsa-miR-374b
26019	UPF2	4.8e-05	4.8e-05	positive	hsa-miR-107
4086	SMAD1	4.81e-05	4.81e-05	positive	hsa-miR-26a
4869	NPM1	4.86e-05	4.86e-05	positive	hsa-miR-182
4739	NEDD9	4.86e-05	4.86e-05	positive	hsa-miR-145
1653	DDX1	4.94e-05	5.71e-05	positive	hsa-miR-429
4690	NCK1	4.99e-05	1.06e-05	positive	hsa-miR-374a
4690	NCK1	4.99e-05	0.000585	positive	hsa-miR-374b
6548	SLC9A1	5e-05	5e-05	negative	hsa-miR-32
51780	KDM3B	5.22e-05	5.22e-05	positive	hsa-miR-455-5p
20	ABCA2	5.3e-05	5.3e-05	negative	hsa-miR-495
283554	GPR137C	5.3e-05	5.3e-05	positive	hsa-miR-92a
157769	FAM91A1	5.33e-05	1.63e-06	positive	hsa-miR-30b
23348	DOCK9	5.48e-05	5.48e-05	negative	hsa-miR-636
2318	FLNC	5.48e-05	5.48e-05	negative	hsa-miR-19b
5298	PI4KB	5.52e-05	5.89e-05	positive	hsa-miR-429
5298	PI4KB	5.52e-05	7.19e-05	positive	hsa-miR-200b
84002	B3GNT5	5.58e-05	5.58e-05	positive	hsa-miR-200a
10858	CYP46A1	5.59e-05	7.39e-05	negative	hsa-let-7d
10858	CYP46A1	5.59e-05	0.000495	negative	hsa-let-7c
4014	LOR	5.83e-05	1.44e-05	negative	hsa-let-7e
4014	LOR	5.83e-05	9.9e-05	negative	hsa-let-7g
4014	LOR	5.83e-05	0.00012	negative	hsa-let-7f
4014	LOR	5.83e-05	0.00328	negative	hsa-let-7i
9628	RGS6	5.84e-05	2.94e-06	negative	hsa-miR-27b
65108	MARCKSL1	5.85e-05	4.05e-05	negative	hsa-miR-23b
65108	MARCKSL1	5.85e-05	0.00557	negative	hsa-miR-34a
1145	CHRNE	5.86e-05	5.86e-05	negative	hsa-miR-16
90355	C5orf30	5.91e-05	1.52e-06	negative	hsa-miR-152
23344	ESYT1	6e-05	6e-05	negative	hsa-miR-512-3p
50846	DHH	6.13e-05	6.13e-05	negative	hsa-miR-204
116159	CYYR1	6.21e-05	6.21e-05	negative	hsa-miR-183
55638	SYBU	6.22e-05	0.000219	positive	hsa-miR-19b
55638	SYBU	6.22e-05	0.000841	positive	hsa-miR-19a
55638	SYBU	6.22e-05	0.00622	positive	hsa-miR-130b
256643	CXorf23	6.31e-05	4.45e-05	positive	hsa-miR-148a
10021	HCN4	6.32e-05	6.32e-05	positive	hsa-miR-548c-3p
55038	CDCA4	6.33e-05	6.33e-05	negative	hsa-miR-424
222183	SRRM3	6.4e-05	0.000243	negative	hsa-miR-125a-5p
222183	SRRM3	6.4e-05	0.000722	negative	hsa-miR-125b
9782	MATR3	6.53e-05	8.3e-06	positive	hsa-miR-200b
23173	METAP1	6.55e-05	5.68e-06	positive	hsa-miR-20b
23173	METAP1	6.55e-05	5.09e-05	positive	hsa-miR-20a
23173	METAP1	6.55e-05	0.000286	positive	hsa-miR-17
5090	PBX3	6.78e-05	5.7e-05	positive	hsa-miR-98
5090	PBX3	6.78e-05	0.00014	positive	hsa-let-7d
11342	RNF13	6.95e-05	6.95e-05	negative	hsa-miR-202
55069	TMEM248	7.04e-05	8.02e-07	negative	hsa-miR-584
9120	SLC16A6	7.44e-05	7.44e-05	negative	hsa-miR-193a-3p
10507	SEMA4D	7.49e-05	7.49e-05	negative	hsa-miR-125a-5p
2037	EPB41L2	7.5e-05	7.5e-05	positive	hsa-miR-499-5p
64786	TBC1D15	7.78e-05	0.000755	negative	hsa-miR-300
64786	TBC1D15	7.78e-05	6.49e-05	positive	hsa-miR-26b
84364	ARFGAP2	7.82e-05	7.82e-05	negative	hsa-miR-198
6018	RLF	7.85e-05	1.25e-07	negative	hsa-miR-671-5p
8604	SLC25A12	7.86e-05	7.86e-05	negative	hsa-miR-498
5921	RASA1	7.93e-05	4.53e-06	positive	hsa-miR-454
5921	RASA1	7.93e-05	0.000753	positive	hsa-miR-30b
5921	RASA1	7.93e-05	0.00143	positive	hsa-miR-1
5921	RASA1	7.93e-05	0.00378	positive	hsa-miR-335
5921	RASA1	7.93e-05	0.00479	positive	hsa-miR-132
3658	IREB2	7.96e-05	0.000159	positive	hsa-miR-495
3658	IREB2	7.96e-05	0.000634	positive	hsa-miR-29b
1850	DUSP8	8.2e-05	0.00613	negative	hsa-miR-152
1850	DUSP8	8.2e-05	9.91e-05	positive	hsa-miR-548c-3p
7170	TPM3	8.26e-05	9.59e-06	positive	hsa-miR-183
1301	COL11A1	8.32e-05	4.46e-05	negative	hsa-miR-29a
1301	COL11A1	8.32e-05	0.00122	negative	hsa-miR-29c
6496	SIX3	8.39e-05	8.39e-05	positive	hsa-miR-636
2099	ESR1	8.45e-05	8.45e-05	negative	hsa-miR-18a
9352	TXNL1	8.51e-05	0.00268	negative	hsa-miR-665
9352	TXNL1	8.51e-05	7.54e-06	positive	hsa-miR-28-5p
8325	FZD8	8.58e-05	8.58e-05	negative	hsa-miR-99a
163033	ZNF579	8.64e-05	8.64e-05	negative	hsa-miR-23b
375056	MIA3	8.92e-05	0.00299	negative	hsa-miR-222
375056	MIA3	8.92e-05	4.74e-07	positive	hsa-miR-32
375056	MIA3	8.92e-05	2.08e-06	positive	hsa-miR-25
375056	MIA3	8.92e-05	0.000289	positive	hsa-miR-30b
26038	CHD5	9.09e-05	0.000202	negative	hsa-miR-204
22902	RUFY3	9.2e-05	7.62e-06	positive	hsa-miR-125b
22902	RUFY3	9.2e-05	0.00076	positive	hsa-miR-98
22902	RUFY3	9.2e-05	0.00258	positive	hsa-let-7d
22902	RUFY3	9.2e-05	0.00525	positive	hsa-miR-125a-5p
2958	GTF2A2	9.25e-05	9.25e-05	positive	hsa-miR-374a
131405	TRIM71	9.27e-05	1.51e-06	negative	hsa-let-7e
131405	TRIM71	9.27e-05	4.61e-06	negative	hsa-miR-125a-5p
131405	TRIM71	9.27e-05	0.000639	negative	hsa-let-7g
131405	TRIM71	9.27e-05	0.000688	negative	hsa-miR-98
131405	TRIM71	9.27e-05	0.00111	negative	hsa-let-7f
131405	TRIM71	9.27e-05	0.00288	negative	hsa-let-7a
131405	TRIM71	9.27e-05	0.00298	negative	hsa-let-7c
131405	TRIM71	9.27e-05	0.00416	negative	hsa-let-7i
6426	SRSF1	9.27e-05	0.000345	negative	hsa-miR-622
6426	SRSF1	9.27e-05	0.00184	negative	hsa-miR-28-3p
81614	NIPA2	9.44e-05	9.44e-05	negative	hsa-miR-610
221692	PHACTR1	9.58e-05	9.58e-05	positive	hsa-miR-584
25940	FAM98A	9.61e-05	9.61e-05	positive	hsa-miR-26b
793	CALB1	9.62e-05	9.62e-05	negative	hsa-miR-376c
55617	TASP1	1e-04	1e-04	positive	hsa-miR-15a
153	ADRB1	0.000101	0.0031	negative	hsa-miR-200a
153	ADRB1	0.000101	2.32e-10	positive	hsa-miR-141
55778	ZNF839	0.000101	8.51e-06	negative	hsa-miR-23a
55778	ZNF839	0.000101	0.00173	negative	hsa-miR-23b
10076	PTPRU	0.000103	0.000115	negative	hsa-miR-98
10579	TACC2	0.000103	8.58e-05	positive	hsa-miR-363
6237	RRAS	0.000103	0.000103	positive	hsa-miR-34a
3586	IL10	0.000104	0.000104	positive	hsa-miR-202
10565	ARFGEF1	0.000106	4.03e-05	positive	hsa-miR-192
10565	ARFGEF1	0.000106	5.29e-05	positive	hsa-miR-215
83605	CCM2	0.000106	3.28e-05	negative	hsa-miR-27b
83605	CCM2	0.000106	0.00457	negative	hsa-miR-19b
83605	CCM2	0.000106	0.000208	positive	hsa-miR-936
221002	RASGEF1A	0.000108	0.000108	positive	hsa-miR-548c-3p
84926	SPRYD3	0.00011	0.00011	negative	hsa-miR-15b
9421	HAND1	0.00011	5.9e-06	negative	hsa-let-7e
9421	HAND1	0.00011	0.000209	negative	hsa-miR-98
9421	HAND1	0.00011	0.000266	negative	hsa-let-7f
9421	HAND1	0.00011	0.000663	negative	hsa-let-7a
9421	HAND1	0.00011	0.00168	negative	hsa-let-7c
9421	HAND1	0.00011	0.00428	positive	hsa-miR-92a
2065	ERBB3	0.000111	1.02e-05	positive	hsa-miR-93
2065	ERBB3	0.000111	0.000583	positive	hsa-miR-106b
2065	ERBB3	0.000111	0.00166	positive	hsa-miR-17
2065	ERBB3	0.000111	0.00385	positive	hsa-miR-106a
84870	RSPO3	0.000112	0.000112	negative	hsa-miR-15b
10566	AKAP3	0.000113	4.45e-05	positive	hsa-miR-760
83723	FAM57B	0.000115	0.000115	positive	hsa-miR-671-5p
1278	COL1A2	0.000116	4.79e-07	negative	hsa-miR-32
1278	COL1A2	0.000116	6.63e-05	negative	hsa-miR-92a
817	CAMK2D	0.000116	0.000116	negative	hsa-miR-765
2637	GBX2	0.000116	0.000125	negative	hsa-miR-374a
2637	GBX2	0.000116	0.000143	negative	hsa-miR-374b
84925	DIRC2	0.000117	0.000117	positive	hsa-miR-135a
4756	NEO1	0.000118	0.000118	positive	hsa-miR-214
118427	OLFM3	0.000119	0.000119	positive	hsa-miR-345
55437	STRADB	0.000119	2.98e-06	positive	hsa-miR-26b
55437	STRADB	0.000119	0.000368	positive	hsa-miR-16
558	AXL	0.000121	0.000121	positive	hsa-miR-34a
54502	RBM47	0.000121	1.37e-05	positive	hsa-miR-199b-5p
26084	ARHGEF26	0.000122	0.000122	positive	hsa-miR-19a
143686	SESN3	0.000122	2.8e-05	positive	hsa-miR-32
80146	UXS1	0.000124	0.000124	positive	hsa-miR-130a
58517	RBM25	0.000124	0.000124	positive	hsa-miR-454
8601	RGS20	0.000125	0.000125	negative	hsa-miR-218
22992	KDM2A	0.000125	0.000125	positive	hsa-miR-454
8649	LAMTOR3	0.000126	0.000116	positive	hsa-miR-200a
3955	LFNG	0.000129	0.000129	negative	hsa-miR-125a-5p
5955	RCN2	0.000129	0.000583	positive	hsa-miR-183
5955	RCN2	0.000129	0.00349	positive	hsa-miR-26b
3889	KRT83	0.000131	0.000131	positive	hsa-miR-630
10644	IGF2BP2	0.000131	2.23e-08	positive	hsa-miR-936
9266	CYTH2	0.000134	0.00011	positive	hsa-miR-663
5930	RBBP6	0.000134	2.24e-06	positive	hsa-miR-15a
5930	RBBP6	0.000134	0.00498	positive	hsa-miR-497
1786	DNMT1	0.000135	0.000135	negative	hsa-miR-152
144097	C11orf84	0.000135	0.00016	negative	hsa-let-7d
144097	C11orf84	0.000135	0.000205	negative	hsa-let-7a
144097	C11orf84	0.000135	0.000214	negative	hsa-let-7i
144097	C11orf84	0.000135	0.000678	negative	hsa-let-7e
284252	KCTD1	0.000136	0.000197	positive	hsa-miR-135a
284252	KCTD1	0.000136	0.0017	positive	hsa-miR-29a
54620	FBXL19	0.000138	0.000182	negative	hsa-miR-26b
54620	FBXL19	0.000138	0.00161	negative	hsa-miR-26a
84162	KIAA1109	0.000139	0.00591	negative	hsa-miR-92a
84162	KIAA1109	0.000139	0.000244	positive	hsa-miR-363
6925	TCF4	0.000139	0.000139	positive	hsa-miR-374a
55167	MSL2	0.000139	0.000139	negative	hsa-miR-371-5p
6710	SPTB	0.000139	0.000139	positive	hsa-miR-671-5p
5775	PTPN4	0.000142	5.21e-06	positive	hsa-miR-454
5775	PTPN4	0.000142	0.0016	positive	hsa-miR-20a
5775	PTPN4	0.000142	0.00286	positive	hsa-miR-20b
5775	PTPN4	0.000142	0.00308	positive	hsa-miR-301a
291	SLC25A4	0.000143	2.99e-06	positive	hsa-miR-181c
11325	DDX42	0.000143	0.000111	positive	hsa-miR-125a-5p
11325	DDX42	0.000143	0.00249	positive	hsa-miR-125b
2237	FEN1	0.000146	0.000146	negative	hsa-miR-140-5p
55783	FTSJD1	0.000152	7.72e-05	positive	hsa-miR-17
55783	FTSJD1	0.000152	0.00301	positive	hsa-miR-106a
8200	GDF5	0.000154	0.000224	negative	hsa-miR-132
813	CALU	0.000154	0.000154	positive	hsa-miR-29a
2790	GNG10	0.000156	0.000156	positive	hsa-miR-30e
323	APBB2	0.000157	0.000157	negative	hsa-miR-141
6236	RRAD	0.000165	0.000407	negative	hsa-miR-30c
6236	RRAD	0.000165	0.000434	positive	hsa-miR-548c-3p
7023	TFAP4	0.000166	1.51e-06	negative	hsa-miR-374b
7023	TFAP4	0.000166	0.0032	negative	hsa-miR-16
7023	TFAP4	0.000166	0.00427	negative	hsa-miR-424
2101	ESRRA	0.000167	9.81e-08	negative	hsa-miR-125b
2101	ESRRA	0.000167	1.5e-06	negative	hsa-miR-125a-5p
2101	ESRRA	0.000167	0.000713	positive	hsa-miR-874
29800	ZDHHC1	0.000168	3.24e-05	negative	hsa-miR-20a
29800	ZDHHC1	0.000168	0.000154	negative	hsa-miR-17
29800	ZDHHC1	0.000168	0.000668	negative	hsa-miR-20b
29800	ZDHHC1	0.000168	0.0034	negative	hsa-miR-153
29800	ZDHHC1	0.000168	0.00693	negative	hsa-miR-93
790	CAD	0.00017	0.00017	positive	hsa-miR-936
22919	MAPRE1	0.00017	1.22e-05	negative	hsa-miR-371-5p
22919	MAPRE1	0.00017	0.00144	positive	hsa-miR-200b
6623	SNCG	0.000172	0.000245	negative	hsa-miR-15b
6623	SNCG	0.000172	0.000468	negative	hsa-miR-107
6623	SNCG	0.000172	0.00087	negative	hsa-miR-195
6623	SNCG	0.000172	0.00205	negative	hsa-miR-15a
23012	STK38L	0.000172	5.8e-06	positive	hsa-miR-374b
23012	STK38L	0.000172	0.00135	positive	hsa-miR-135a
79642	ARSJ	0.000175	2.03e-07	positive	hsa-miR-181c
23216	TBC1D1	0.000178	0.000178	positive	hsa-miR-125b
27143	PALD1	0.000179	0.000205	negative	hsa-let-7c
27143	PALD1	0.000179	0.000256	negative	hsa-let-7a
27143	PALD1	0.000179	0.000495	negative	hsa-miR-98
3268	AGFG2	0.000179	0.000964	negative	hsa-miR-200a
3268	AGFG2	0.000179	2.65e-08	positive	hsa-miR-141
26960	NBEA	0.000182	1.09e-05	positive	hsa-miR-135a
57472	CNOT6	0.000186	0.000186	positive	hsa-miR-148b
29911	HOOK2	0.000187	0.000317	negative	hsa-miR-23b
29911	HOOK2	0.000187	0.00038	negative	hsa-miR-23a
5110	PCMT1	0.000188	6.8e-05	positive	hsa-miR-195
5110	PCMT1	0.000188	0.00196	positive	hsa-miR-497
140739	UBE2F	0.000191	2.03e-06	positive	hsa-miR-30e
140739	UBE2F	0.000191	0.00682	positive	hsa-miR-30b
54785	C17orf59	0.000194	8.34e-05	negative	hsa-miR-16
54785	C17orf59	0.000194	0.000163	negative	hsa-miR-195
3360	HTR4	0.000195	3.59e-05	negative	hsa-miR-16
3360	HTR4	0.000195	0.000924	negative	hsa-let-7f
3360	HTR4	0.000195	0.0012	negative	hsa-let-7a
3360	HTR4	0.000195	0.00447	negative	hsa-miR-497
9135	RABEP1	0.000196	0.000196	positive	hsa-miR-429
55716	LMBR1L	0.000196	3.6e-07	negative	hsa-miR-30b
55716	LMBR1L	0.000196	0.00163	negative	hsa-miR-25
84971	ATG4D	0.000198	2.65e-06	negative	hsa-miR-301a
84971	ATG4D	0.000198	0.000244	negative	hsa-miR-152
9478	CABP1	0.000202	0.000202	negative	hsa-miR-96
8434	RECK	0.000202	8.36e-05	positive	hsa-miR-222
57498	KIDINS220	0.000203	0.000203	negative	hsa-miR-371-5p
9435	CHST2	0.000203	0.000112	negative	hsa-miR-30b
4821	NKX2-2	0.000203	0.000203	positive	hsa-miR-182
162466	PHOSPHO1	0.000205	0.000778	negative	hsa-miR-135a
162466	PHOSPHO1	0.000205	0.00188	positive	hsa-miR-665
50810	HDGFRP3	0.000208	0.000208	negative	hsa-miR-548c-3p
4779	NFE2L1	0.000215	0.000215	negative	hsa-miR-486-5p
6605	SMARCE1	0.00022	9.72e-05	negative	hsa-miR-760
6605	SMARCE1	0.00022	0.0021	negative	hsa-miR-548c-3p
7114	TMSB4X	0.000223	9.08e-05	positive	hsa-miR-152
7114	TMSB4X	0.000223	0.00031	positive	hsa-miR-1
1959	EGR2	0.000228	0.000335	positive	hsa-miR-150
22911	WDR47	0.000229	0.000229	negative	hsa-miR-182
5520	PPP2R2A	0.000232	0.000207	positive	hsa-miR-455-3p
5520	PPP2R2A	0.000232	0.000811	positive	hsa-miR-143
6456	SH3GL2	0.000234	0.000221	negative	hsa-miR-16
6456	SH3GL2	0.000234	0.0013	negative	hsa-miR-107
794	CALB2	0.000236	0.00121	negative	hsa-miR-30b
3837	KPNB1	0.000239	0.000239	negative	hsa-miR-483-3p
90427	BMF	0.000239	0.000239	negative	hsa-miR-221
58512	DLGAP3	0.000241	3.48e-05	negative	hsa-miR-27b
3624	INHBA	0.000249	2.98e-05	negative	hsa-miR-135a
3624	INHBA	0.000249	8e-04	negative	hsa-miR-205
2913	GRM3	0.000252	2.06e-05	negative	hsa-miR-30c
80829	ZFP91	0.000253	3.87e-05	positive	hsa-miR-29b
80829	ZFP91	0.000253	0.000741	positive	hsa-miR-218
65062	TMEM237	0.000254	0.000254	positive	hsa-miR-135a
79888	LPCAT1	0.000258	0.000258	negative	hsa-miR-27a
130074	FAM168B	0.00026	0.00284	negative	hsa-miR-7
130074	FAM168B	0.00026	0.00607	negative	hsa-miR-370
284207	METRNL	0.000261	0.000261	negative	hsa-miR-374a
29110	TBK1	0.000264	0.000264	positive	hsa-miR-135a
3205	HOXA9	0.000265	5.77e-08	positive	hsa-miR-196b
5296	PIK3R2	0.000265	0.000265	negative	hsa-miR-30b
10140	TOB1	0.000267	0.000254	positive	hsa-miR-363
27244	SESN1	0.000267	0.000185	positive	hsa-miR-16
27244	SESN1	0.000267	0.000274	positive	hsa-miR-200b
27244	SESN1	0.000267	0.00284	positive	hsa-miR-200c
27244	SESN1	0.000267	0.00296	positive	hsa-miR-15b
27244	SESN1	0.000267	0.00314	positive	hsa-miR-429
29924	EPN1	0.000267	0.00337	negative	hsa-miR-200a
29924	EPN1	0.000267	9.49e-06	positive	hsa-miR-141
29924	EPN1	0.000267	0.000192	positive	hsa-miR-371-5p
30011	SH3KBP1	0.000268	0.000341	positive	hsa-miR-224
9543	IGDCC3	0.000268	2.48e-05	negative	hsa-let-7e
9543	IGDCC3	0.000268	0.000498	negative	hsa-let-7d
9543	IGDCC3	0.000268	0.00196	negative	hsa-let-7g
92	ACVR2A	0.00027	4.03e-06	positive	hsa-miR-16
154214	RNF217	0.000273	1.73e-05	positive	hsa-miR-497
84691	FAM71F1	0.000275	0.000275	negative	hsa-miR-135a
89884	LHX4	0.000277	0.000277	negative	hsa-miR-23b
205327	C2orf69	0.000277	0.000355	positive	hsa-miR-32
7415	VCP	0.00028	0.00028	positive	hsa-miR-331-3p
10777	ARPP21	0.000286	0.00385	negative	hsa-miR-424
10777	ARPP21	0.000286	0.000683	positive	hsa-miR-885-5p
53616	ADAM22	0.000287	1.79e-06	positive	hsa-miR-30c
57492	ARID1B	0.000291	2.32e-05	negative	hsa-miR-575
4216	MAP3K4	0.000292	0.00518	negative	hsa-miR-183
4216	MAP3K4	0.000292	1.6e-05	positive	hsa-miR-152
4216	MAP3K4	0.000292	0.00346	positive	hsa-miR-148a
9444	QKI	0.000295	5.66e-08	positive	hsa-miR-224
10735	STAG2	0.000297	3.66e-05	positive	hsa-miR-30b
162417	NAGS	0.000297	0.000297	negative	hsa-miR-135a
64061	TSPYL2	3e-04	3.27e-05	negative	hsa-miR-15b
79089	TMUB2	0.000301	0.000301	negative	hsa-miR-93
130612	TMEM198	0.000304	0.000176	positive	hsa-miR-501-3p
134548	SOWAHA	0.000305	0.000288	negative	hsa-let-7f
134548	SOWAHA	0.000305	0.000365	negative	hsa-let-7a
10307	APBB3	0.000305	9.81e-05	negative	hsa-let-7i
7681	MKRN3	0.000306	7.35e-05	negative	hsa-miR-30c
1996	ELAVL4	0.000308	0.000467	negative	hsa-miR-200a
1996	ELAVL4	0.000308	0.00171	negative	hsa-miR-340
139322	APOOL	0.000315	0.000315	positive	hsa-miR-660
79616	CCNJL	0.000317	0.000122	negative	hsa-miR-195
79616	CCNJL	0.000317	0.000427	negative	hsa-miR-16
79616	CCNJL	0.000317	0.00428	negative	hsa-miR-15a
4763	NF1	0.000318	2.47e-08	positive	hsa-miR-107
1606	DGKA	0.000319	0.000319	negative	hsa-miR-200c
2048	EPHB2	0.000323	0.000411	negative	hsa-miR-30b
5928	RBBP4	0.000324	0.000251	negative	hsa-miR-370
5928	RBBP4	0.000324	0.00693	positive	hsa-miR-199b-5p
2217	FCGRT	0.000328	0.000328	positive	hsa-miR-24
51655	RASD1	0.000334	0.000311	positive	hsa-miR-375
340348	TSPAN33	0.000335	5.61e-05	negative	hsa-miR-30c
221662	RBM24	0.000338	0.00384	negative	hsa-miR-141
221662	RBM24	0.000338	4.71e-06	positive	hsa-miR-222
221662	RBM24	0.000338	0.000113	positive	hsa-miR-152
288	ANK3	0.000338	2.99e-07	negative	hsa-miR-92b
288	ANK3	0.000338	0.000132	positive	hsa-miR-182
2295	FOXF2	0.00034	0.00112	negative	hsa-miR-182
2295	FOXF2	0.00034	0.00264	negative	hsa-miR-454
25998	IBTK	0.000347	0.000347	positive	hsa-miR-32
22897	CEP164	0.000347	0.000347	positive	hsa-miR-202
10328	EMC8	0.000348	0.000348	positive	hsa-miR-452
80183	KIAA0226L	0.000351	9.55e-05	negative	hsa-miR-30b
55827	DCAF6	0.000354	0.000983	negative	hsa-miR-92b
55827	DCAF6	0.000354	4.16e-06	positive	hsa-miR-25
1808	DPYSL2	0.000354	0.000354	positive	hsa-miR-224
65983	GRAMD3	0.000357	0.000357	positive	hsa-miR-363
383	ARG1	0.000359	0.000359	negative	hsa-miR-340
55700	MAP7D1	0.00036	9.46e-05	negative	hsa-miR-18a
55700	MAP7D1	0.00036	0.00154	negative	hsa-miR-18b
55700	MAP7D1	0.00036	0.00231	negative	hsa-miR-200a
256435	ST6GALNAC3	0.000364	0.000364	negative	hsa-miR-27b
54726	OTUD4	0.000368	6.94e-05	positive	hsa-miR-29b
3764	KCNJ8	0.000374	5.56e-14	negative	hsa-miR-93
84461	NEURL4	0.000391	8.47e-05	negative	hsa-miR-27b
84461	NEURL4	0.000391	0.00149	negative	hsa-miR-27a
85406	DNAJC14	0.000392	0.000392	negative	hsa-miR-221
55975	KLHL7	0.000394	0.000394	positive	hsa-miR-96
3749	KCNC4	0.000394	0.00371	negative	hsa-miR-363
3749	KCNC4	0.000394	0.00224	positive	hsa-miR-92b
3749	KCNC4	0.000394	0.00465	positive	hsa-miR-92a
23435	TARDBP	0.000399	0.000399	positive	hsa-miR-362-3p
745	C11orf9	0.00041	0.000352	negative	hsa-miR-145
745	C11orf9	0.00041	0.00361	negative	hsa-miR-199a-5p
5074	PAWR	0.000415	0.000415	negative	hsa-miR-181b
